time_s,level_cm_raw,level_cm_smooth,delta_h_cm,delta_V_mL,confidence
0.000,14.146,14.147,-2.518,-160.21,0.999
0.100,14.156,14.146,-2.519,-160.27,1.000
0.200,14.156,14.147,-2.519,-160.23,1.000
0.300,14.146,14.149,-2.517,-160.10,1.000
0.400,14.146,14.140,-2.525,-160.66,1.000
0.500,14.165,14.045,-2.621,-166.74,0.999
0.600,14.146,14.080,-2.585,-164.45,1.000
0.701,14.165,14.219,-2.446,-155.63,1.000
0.801,14.165,14.456,-2.210,-140.58,1.000
0.901,14.305,14.753,-1.913,-121.69,0.824
1.001,15.518,15.066,-1.600,-101.76,0.767
1.101,15.604,15.376,-1.290,-82.04,0.768
1.201,15.759,15.648,-1.018,-64.73,0.705
1.301,15.759,15.843,-0.822,-52.32,0.703
1.401,15.785,15.920,-0.745,-47.40,0.808
1.501,15.904,15.907,-0.758,-48.22,0.980
1.601,15.887,15.925,-0.741,-47.13,0.966
1.701,15.921,15.890,-0.775,-49.33,0.949
1.801,15.929,15.821,-0.845,-53.74,0.785
1.901,15.921,15.724,-0.942,-59.92,0.813
2.001,15.255,15.627,-1.038,-66.06,0.650
2.102,15.405,15.567,-1.098,-69.87,0.650
2.202,15.457,15.558,-1.108,-70.48,0.650
2.302,15.596,15.592,-1.073,-68.27,0.650
2.402,15.759,15.686,-0.979,-62.31,0.652
2.502,15.895,15.845,-0.820,-52.16,0.663
2.602,16.014,15.976,-0.690,-43.88,0.679
2.702,16.056,16.110,-0.556,-35.35,0.662
2.802,16.215,16.232,-0.434,-27.60,0.688
2.902,16.347,16.354,-0.311,-19.81,0.691
3.002,16.478,16.476,-0.189,-12.05,0.686
3.102,16.617,16.598,-0.067,-4.28,0.666
3.202,16.713,16.711,0.045,2.87,0.667
3.302,16.802,16.791,0.126,8.00,0.666
3.402,16.849,16.780,0.115,7.31,0.671
3.503,16.905,16.771,0.106,6.74,0.598
3.603,16.905,16.891,0.226,14.36,0.524
3.703,16.905,17.111,0.446,28.35,0.495
3.803,16.905,17.398,0.732,46.60,0.523
3.903,17.743,17.719,1.053,67.02,0.477
4.003,18.506,18.032,1.367,86.97,0.661
4.103,18.499,18.309,1.644,104.57,0.661
4.203,18.499,18.508,1.843,117.23,0.661
4.303,18.478,18.593,1.928,122.65,0.659
4.403,18.450,18.530,1.864,118.60,0.657
4.503,18.429,18.458,1.793,114.06,0.625
4.603,18.450,18.560,1.895,120.54,0.560
4.703,18.450,18.626,1.960,124.72,0.501
4.803,18.457,18.477,1.812,115.25,0.476
4.904,18.443,18.152,1.487,94.59,0.489
5.004,18.429,17.696,1.031,65.59,0.421
5.104,17.125,17.163,0.498,31.65,0.448
5.204,15.946,16.605,-0.061,-3.86,0.715
5.304,15.802,16.081,-0.584,-37.17,0.770
5.404,15.673,15.654,-1.012,-64.37,0.943
5.504,15.544,15.382,-1.284,-81.67,0.951
5.604,15.413,15.331,-1.335,-84.91,0.936
5.704,15.299,15.296,-1.369,-87.11,0.927
5.804,15.176,15.177,-1.488,-94.69,0.929
5.904,15.042,15.047,-1.618,-102.93,0.951
6.004,14.926,14.918,-1.747,-111.15,0.977
6.104,14.800,14.779,-1.886,-119.99,0.956
6.204,14.645,14.629,-2.036,-129.54,0.924
6.305,14.471,14.481,-2.184,-138.95,0.922
6.405,14.370,14.347,-2.318,-147.47,0.954
6.505,14.202,14.234,-2.432,-154.69,0.998
6.605,14.109,14.151,-2.514,-159.94,1.000
6.705,14.090,14.102,-2.563,-163.07,1.000
6.805,14.081,14.080,-2.585,-164.47,1.000
6.905,14.071,14.074,-2.591,-164.83,0.994
7.005,14.109,14.087,-2.579,-164.06,0.999
7.105,14.099,14.094,-2.571,-163.57,0.999
7.205,14.099,14.098,-2.568,-163.35,1.000
7.305,14.099,14.101,-2.565,-163.17,0.999
7.405,14.099,14.102,-2.563,-163.06,0.999
7.505,14.099,14.106,-2.560,-162.85,1.000
7.605,14.118,14.111,-2.555,-162.53,0.999
7.706,14.118,14.118,-2.547,-162.04,1.000
7.806,14.118,14.125,-2.541,-161.62,1.000
7.906,14.156,14.131,-2.535,-161.25,0.999
8.006,14.137,14.136,-2.529,-160.90,1.000
8.106,14.137,14.136,-2.529,-160.89,1.000
8.206,14.146,14.034,-2.631,-167.39,1.000
8.306,14.156,14.063,-2.603,-165.58,1.000
8.406,14.137,14.204,-2.462,-156.61,0.999
8.506,14.156,14.420,-2.245,-142.85,0.999
8.606,14.202,14.702,-1.963,-124.91,1.000
8.706,15.492,15.016,-1.649,-104.91,0.762
8.806,15.578,15.314,-1.351,-85.96,0.723
8.906,15.604,15.583,-1.083,-68.88,0.776
9.007,15.751,15.780,-0.885,-56.32,0.746
9.107,15.768,15.870,-0.795,-50.61,0.823
9.207,15.776,15.821,-0.845,-53.73,0.879
9.307,15.895,15.894,-0.771,-49.08,0.924
9.407,15.895,15.918,-0.747,-47.53,0.957
9.507,15.921,15.893,-0.772,-49.13,0.922
9.607,15.929,15.838,-0.827,-52.62,0.747
9.707,15.921,15.761,-0.905,-57.56,0.774
9.807,15.308,15.679,-0.986,-62.75,0.650
